"","FIPS Code","State and area","Year","Month","Civilian non-institutional population","Total Labor Force","Percent of population...7","Total Labor force","Percent of population...9","Total Unemployment","Unemployment Rate"
"68","17","Illinois","2020","02",9988984,6398665,64.1,6179880,61.9,218785,3.4
"69","18","Indiana","2020","02",5269797,3396229,64.4,3291040,62.5,105189,3.1
"70","19","Iowa","2020","02",2473213,1752621,70.9,1703351,68.9,49270,2.8
"71","20","Kansas","2020","02",2233436,1496525,67,1449736,64.9,46789,3.1
"72","21","Kentucky","2020","02",3499368,2084089,59.6,1995951,57,88138,4.2
"73","22","Louisiana","2020","02",3574497,2109980,59,2000126,56,109854,5.2
"74","23","Maine","2020","02",1114001,695029,62.4,672993,60.4,22036,3.2
"75","24","Maryland","2020","02",4769241,3280277,68.8,3172883,66.5,107394,3.3
"76","25","Massachusetts","2020","02",5648931,3834827,67.9,3728255,66,106572,2.8
"77","26","Michigan","2020","02",8003857,4950186,61.8,4769868,59.6,180318,3.6
"78","27","Minnesota","2020","02",4445229,3121329,70.2,3025204,68.1,96125,3.1
"79","28","Mississippi","2020","02",2289040,1276458,55.8,1207994,52.8,68464,5.4
"80","29","Missouri","2020","02",4823919,3111767,64.5,3002151,62.2,109616,3.5
"81","30","Montana","2020","02",855453,537336,62.8,518642,60.6,18694,3.5
"82","31","Nebraska","2020","02",1486762,1042449,70.1,1012433,68.1,30016,2.9
"83","32","Nevada","2020","02",2455309,1559544,63.5,1503339,61.2,56205,3.6
"84","33","New Hampshire","2020","02",1126189,779532,69.2,759597,67.4,19935,2.6
